title,budget,revenue,popularity,vote_average,vote_count,runtime,primary_genre,season,release_year,ROI,investment_success,success_probability,investment_decision,budget_M,revenue_M
Shrek Forever After,165000000,752600867,44.041186,6.0,1959,93.0,Comedy,Spring,2010,4.561217375757575,1,81.3,Invest with confidence,165.0,752.6
Tomorrowland,190000000,209154322,130.311355,6.2,2846,130.0,Adventure,Spring,2015,1.1008122210526317,0,93.8,Invest with confidence,190.0,209.2
Big Hero 6,165000000,652105443,203.73459,7.8,6135,102.0,Adventure,Off-Season,2014,3.9521542,1,96.7,Invest with confidence,165.0,652.1
Wreck-It Ralph,165000000,471222889,62.341073,7.1,4570,108.0,Family,Holiday,2012,2.855896296969697,1,96.3,Invest with confidence,165.0,471.2
The Polar Express,165000000,305875730,47.323228,6.4,1474,100.0,Adventure,Holiday,2004,1.853792303030303,0,71.9,Invest with confidence,165.0,305.9
Independence Day: Resurgence,165000000,389681935,48.775723,4.9,2491,120.0,Action,Summer,2016,2.3617086969696968,1,76.2,Invest with confidence,165.0,389.7
How to Train Your Dragon,165000000,494878759,67.263269,7.5,4227,98.0,Fantasy,Spring,2010,2.999265206060606,1,97.0,Invest with confidence,165.0,494.9
Terminator 3: Rise of the Machines,200000000,435000000,69.405188,5.9,2143,109.0,Action,Summer,2003,2.175,1,57.2,Invest with caution,200.0,435.0
Guardians of the Galaxy,170000000,773328629,481.098624,7.9,9742,121.0,Action,Summer,2014,4.548991935294118,1,96.7,Invest with confidence,170.0,773.3
Interstellar,165000000,675120017,724.247784,8.1,10867,169.0,Adventure,Holiday,2014,4.0916364666666665,1,96.6,Invest with confidence,165.0,675.1
Inception,160000000,825532764,167.58371,8.1,13752,148.0,Action,Summer,2010,5.159579775,1,96.7,Invest with confidence,160.0,825.5
Shin Godzilla,15000000,77000000,9.476999,6.5,143,120.0,Action,Summer,2016,5.133333333333334,1,42.9,Check the details,15.0,77.0
The Hobbit: An Unexpected Journey,250000000,1021103568,108.849621,7.0,8297,169.0,Adventure,Holiday,2012,4.084414272,1,96.6,Invest with confidence,250.0,1021.1
The Fast and the Furious,38000000,207283925,6.909942,6.6,3428,106.0,Action,Summer,2001,5.454840131578948,1,93.8,Invest with confidence,38.0,207.3
The Curious Case of Benjamin Button,150000000,333932083,60.269279,7.3,3292,166.0,Fantasy,Holiday,2008,2.2262138866666668,1,94.6,Invest with confidence,150.0,333.9
X-Men: First Class,160000000,353624124,3.195174,7.1,5181,132.0,Action,Spring,2011,2.210150775,1,96.4,Invest with confidence,160.0,353.6
The Hunger Games: Mockingjay - Part 2,160000000,653428261,127.284427,6.6,3984,137.0,Action,Holiday,2015,4.08392663125,1,96.8,Invest with confidence,160.0,653.4
The Sorcerer's Apprentice,150000000,215283742,35.580815,5.8,1470,109.0,Fantasy,Summer,2010,1.4352249466666667,0,66.0,Invest with caution,150.0,215.3
Poseidon,160000000,181674817,21.133748,5.5,583,99.0,Adventure,Spring,2006,1.13546760625,0,28.0,Do not invest,160.0,181.7
Alice Through the Looking Glass,170000000,299370084,56.268916,6.5,1725,113.0,Fantasy,Spring,2016,1.7610004941176471,0,41.5,Check the details,170.0,299.4
Shrek the Third,160000000,798958165,42.986467,6.0,2278,93.0,Fantasy,Spring,2007,4.99348853125,1,81.0,Invest with confidence,160.0,799.0
Warcraft,160000000,433677183,63.148529,6.3,2268,123.0,Action,Spring,2016,2.71048239375,1,58.8,Invest with caution,160.0,433.7
Terminator Genisys,155000000,440603537,202.042635,5.8,3631,126.0,Science Fiction,Summer,2015,2.842603464516129,1,94.4,Invest with confidence,155.0,440.6
The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,415686217,49.661984,6.2,1514,113.0,Adventure,Summer,2010,2.6818465612903224,1,66.4,Invest with caution,155.0,415.7
Pearl Harbor,140000000,449220945,34.20669,6.6,1791,183.0,History,Spring,2001,3.208721035714286,1,48.0,Check the details,140.0,449.2
Transformers,150000000,709709780,25.468493,6.6,4040,144.0,Adventure,Summer,2007,4.7313985333333335,1,96.4,Invest with confidence,150.0,709.7
Alexander,155000000,167298192,39.019229,5.6,927,175.0,War,Holiday,2004,1.0793431741935484,0,12.8,Do not invest,155.0,167.3
Harry Potter and the Order of the Phoenix,150000000,938212738,78.144395,7.4,5494,138.0,Adventure,Summer,2007,6.254751586666667,1,96.7,Invest with confidence,150.0,938.2
Harry Potter and the Goblet of Fire,150000000,895921036,101.250416,7.5,5608,157.0,Adventure,Holiday,2005,5.9728069066666665,1,97.3,Invest with confidence,150.0,895.9
Hancock,150000000,624029371,56.758411,6.2,2961,92.0,Fantasy,Summer,2008,4.160195806666667,1,94.4,Invest with confidence,150.0,624.0
I Am Legend,150000000,585349010,70.867401,6.9,4853,101.0,Drama,Holiday,2007,3.902326733333333,1,97.2,Invest with confidence,150.0,585.3
Charlie and the Chocolate Factory,150000000,474968763,53.905592,6.7,3624,115.0,Adventure,Summer,2005,3.16645842,1,96.2,Invest with confidence,150.0,475.0
Ratatouille,150000000,623722818,65.677399,7.5,4369,111.0,Animation,Summer,2007,4.15815212,1,96.8,Invest with confidence,150.0,623.7
Batman Begins,150000000,374218673,115.040024,7.5,7359,140.0,Action,Summer,2005,2.4947911533333333,1,96.7,Invest with confidence,150.0,374.2
Madagascar: Escape 2 Africa,150000000,603900354,44.141021,6.2,1810,89.0,Family,Off-Season,2008,4.02600236,1,75.8,Invest with confidence,150.0,603.9
Night at the Museum: Battle of the Smithsonian,150000000,413106170,81.781591,5.9,1971,105.0,Adventure,Spring,2009,2.7540411333333332,1,77.5,Invest with confidence,150.0,413.1
X-Men Origins: Wolverine,150000000,373062864,5.954334,6.2,4021,107.0,Adventure,Spring,2009,2.48708576,1,96.2,Invest with confidence,150.0,373.1
The Matrix Revolutions,150000000,424988211,73.313918,6.4,3096,129.0,Adventure,Holiday,2003,2.83325474,1,95.4,Invest with confidence,150.0,425.0
Frozen,150000000,1274219009,165.125366,7.3,5295,102.0,Animation,Holiday,2013,8.494793393333333,1,98.4,Invest with confidence,150.0,1274.2
The Matrix Reloaded,150000000,738599701,70.78591,6.7,3443,138.0,Adventure,Spring,2003,4.923998006666666,1,96.0,Invest with confidence,150.0,738.6
Thor: The Dark World,170000000,644571402,99.499595,6.8,4755,112.0,Action,Off-Season,2013,3.7915964823529413,1,95.8,Invest with confidence,170.0,644.6
Mad Max: Fury Road,150000000,378858340,434.278564,7.2,9427,120.0,Action,Spring,2015,2.5257222666666665,1,96.0,Invest with confidence,150.0,378.9
Angels & Demons,150000000,356613439,67.447636,6.5,2129,138.0,Thriller,Spring,2009,2.3774229266666667,1,63.8,Invest with caution,150.0,356.6
Thor,150000000,449326618,86.493424,6.6,6525,115.0,Adventure,Spring,2011,2.995510786666667,1,97.1,Invest with confidence,150.0,449.3
Bolt,150000000,309979994,41.845878,6.3,1750,98.0,Animation,Holiday,2008,2.0665332933333334,1,84.1,Invest with confidence,150.0,310.0
G-Force,150000000,292817841,26.710398,5.1,510,88.0,Fantasy,Summer,2009,1.95211894,0,23.5,Do not invest,150.0,292.8
Wrath of the Titans,150000000,301000000,44.927635,5.5,1431,99.0,Adventure,Spring,2012,2.006666666666667,1,68.7,Invest with caution,150.0,301.0
Dark Shadows,150000000,245527149,50.306728,5.7,2320,113.0,Comedy,Spring,2012,1.63684766,0,68.8,Invest with caution,150.0,245.5
Mission: Impossible - Rogue Nation,150000000,682330139,114.522237,7.1,3224,131.0,Action,Summer,2015,4.548867593333333,1,96.7,Invest with confidence,150.0,682.3
Bee Movie,150000000,287594577,29.332905,5.7,1171,91.0,Family,Off-Season,2007,1.91729718,0,47.7,Check the details,150.0,287.6
Kung Fu Panda 2,150000000,665692281,51.247321,6.7,1880,91.0,Animation,Spring,2011,4.43794854,1,80.9,Invest with confidence,150.0,665.7
The Last Airbender,150000000,318502923,33.769336,4.7,1151,103.0,Action,Summer,2010,2.12335282,1,39.7,Check the details,150.0,318.5
Mission: Impossible III,150000000,397850012,63.079003,6.5,2028,126.0,Adventure,Spring,2006,2.6523334133333334,1,66.3,Invest with caution,150.0,397.9
White House Down,150000000,205366737,39.004588,6.4,1891,131.0,Action,Summer,2013,1.36911158,0,58.2,Invest with caution,150.0,205.4
Mars Needs Moms,150000000,38992758,12.362599,5.5,199,88.0,Adventure,Spring,2011,0.25995172,0,9.5,Do not invest,150.0,39.0
Flushed Away,149000000,64459316,22.550135,6.0,874,85.0,Adventure,Off-Season,2006,0.4326128590604027,0,23.3,Do not invest,149.0,64.5
Pan,150000000,128388320,48.03528,5.9,954,111.0,Adventure,Off-Season,2015,0.8559221333333333,0,30.9,Do not invest,150.0,128.4
Mr. Peabody & Sherman,145000000,272912430,38.73494,6.7,843,92.0,Animation,Off-Season,2014,1.8821546896551724,0,49.1,Check the details,145.0,272.9
Troy,175000000,497409852,66.803149,6.9,2759,163.0,Adventure,Spring,2004,2.8423420114285713,1,92.7,Invest with confidence,175.0,497.4
Madagascar 3: Europe's Most Wanted,145000000,746921274,44.989192,6.4,1808,93.0,Animation,Summer,2012,5.1511812,1,81.9,Invest with confidence,145.0,746.9
Die Another Day,140000000,431971116,54.159392,5.8,1092,133.0,Adventure,Holiday,2002,3.0855079714285716,1,61.5,Invest with caution,140.0,432.0
Ghostbusters,144000000,229147509,66.21806,5.3,2142,116.0,Action,Summer,2016,1.5913021458333334,0,55.3,Invest with caution,144.0,229.1
Armageddon,140000000,553799566,58.485967,6.4,2482,151.0,Action,Summer,1998,3.9557111857142857,1,78.3,Invest with confidence,140.0,553.8
Men in Black II,140000000,441818803,91.332849,6.0,3114,88.0,Action,Summer,2002,3.1558485928571427,1,96.2,Invest with confidence,140.0,441.8
Beowulf,70000000,195735876,35.601665,5.5,841,115.0,Adventure,Holiday,2007,2.7962268,1,68.3,Invest with caution,70.0,195.7
Kung Fu Panda 3,145000000,521170825,56.747978,6.7,1603,95.0,Action,Off-Season,2016,3.594281551724138,1,55.5,Invest with caution,145.0,521.2
Mission: Impossible - Ghost Protocol,145000000,694713380,77.77477,6.8,3972,133.0,Action,Holiday,2011,4.79112675862069,1,96.8,Invest with confidence,145.0,694.7
Rise of the Guardians,145000000,306941670,61.788035,7.1,1922,97.0,Fantasy,Holiday,2012,2.116839103448276,1,71.6,Invest with confidence,145.0,306.9
Fun with Dick and Jane,100000000,202026112,25.159168,5.9,627,90.0,Comedy,Holiday,2005,2.02026112,1,48.5,Check the details,100.0,202.0
The Last Samurai,140000000,456758981,52.341226,7.3,1895,154.0,Drama,Holiday,2003,3.26256415,1,61.6,Invest with caution,140.0,456.8
Exodus: Gods and Kings,140000000,268031828,101.599427,5.6,1921,150.0,Adventure,Holiday,2014,1.9145130571428572,0,73.3,Invest with confidence,140.0,268.0
Star Trek,150000000,385680446,73.616808,7.4,4518,127.0,Science Fiction,Spring,2009,2.5712029733333335,1,93.8,Invest with confidence,150.0,385.7
Spider-Man,139000000,821708551,82.502566,6.8,5265,121.0,Fantasy,Spring,2002,5.911572309352518,1,96.2,Invest with confidence,139.0,821.7
How to Train Your Dragon 2,145000000,609123048,100.21391,7.6,3106,102.0,Fantasy,Summer,2014,4.200848606896551,1,96.8,Invest with confidence,145.0,609.1
Gods of Egypt,140000000,150680864,56.257249,5.3,1277,127.0,Fantasy,Off-Season,2016,1.0762918857142858,0,33.8,Do not invest,140.0,150.7
Stealth,135000000,76932943,17.88953,4.9,331,121.0,Action,Summer,2005,0.5698736518518519,0,20.3,Do not invest,135.0,76.9
Watchmen,130000000,185258983,64.798873,7.0,2811,163.0,Action,Spring,2009,1.4250691,0,86.3,Invest with confidence,130.0,185.3
Lethal Weapon 4,140000000,285444603,24.855701,6.3,767,127.0,Action,Summer,1998,2.0388900214285712,1,30.2,Do not invest,140.0,285.4
Hulk,137000000,245360480,34.981698,5.3,1533,138.0,Drama,Summer,2003,1.790952408759124,0,51.5,Invest with caution,137.0,245.4
G.I. Joe: Retaliation,130000000,371876278,59.325589,5.4,3025,110.0,Adventure,Spring,2013,2.860586753846154,1,92.7,Invest with confidence,130.0,371.9
Sahara,130000000,119269486,21.605568,5.7,434,124.0,Action,Spring,2005,0.9174575846153846,0,29.1,Do not invest,130.0,119.3
Final Fantasy: The Spirits Within,137000000,85131830,26.074908,5.9,433,106.0,Adventure,Summer,2001,0.6214002189781022,0,34.4,Do not invest,137.0,85.1
Captain America: The First Avenger,140000000,370569774,74.506246,6.6,7047,124.0,Action,Summer,2011,2.646926957142857,1,96.1,Invest with confidence,140.0,370.6
The World Is Not Enough,135000000,361832400,39.604363,6.0,862,128.0,Adventure,Holiday,1999,2.68024,1,50.6,Invest with caution,135.0,361.8
Master and Commander: The Far Side of the World,150000000,212011111,36.973031,6.9,790,138.0,Adventure,Holiday,2003,1.4134074066666666,0,35.2,Check the details,150.0,212.0
The Twilight Saga: Breaking Dawn - Part 2,120000000,829000000,99.687084,6.1,2553,115.0,Adventure,Holiday,2012,6.908333333333333,1,88.1,Invest with confidence,120.0,829.0
Happy Feet Two,130000000,150406466,17.7735,5.8,373,100.0,Animation,Holiday,2011,1.1569728153846155,0,24.3,Do not invest,130.0,150.4
The Incredible Hulk,150000000,163712074,62.898336,6.1,3021,114.0,Science Fiction,Summer,2008,1.0914138266666666,0,67.7,Invest with caution,150.0,163.7
The BFG,140000000,183345589,44.19092,6.0,1000,120.0,Adventure,Summer,2016,1.30961135,0,45.4,Check the details,140.0,183.3
The Revenant,135000000,532950503,100.635882,7.3,6396,156.0,Western,Holiday,2015,3.9477815037037036,1,94.2,Invest with confidence,135.0,533.0
Turbo,135000000,282570682,44.765377,6.1,1074,96.0,Animation,Summer,2013,2.093116162962963,1,64.1,Invest with caution,135.0,282.6
Rango,135000000,245724603,29.91353,6.6,2051,107.0,Animation,Spring,2011,1.8201822444444444,0,71.7,Invest with confidence,135.0,245.7
Penguins of Madagascar,132000000,373552094,84.366984,6.5,1346,92.0,Family,Holiday,2014,2.829940106060606,1,81.8,Invest with confidence,132.0,373.6
The Bourne Ultimatum,70000000,442824138,45.381501,7.3,2888,115.0,Action,Summer,2007,6.326059114285714,1,93.3,Invest with confidence,70.0,442.8
Kung Fu Panda,130000000,631744560,84.689648,6.9,3145,90.0,Adventure,Summer,2008,4.859573538461539,1,97.5,Invest with confidence,130.0,631.7
Ant-Man,130000000,519311965,120.09361,7.0,5880,117.0,Science Fiction,Summer,2015,3.9947074230769233,1,87.8,Invest with confidence,130.0,519.3
The Hunger Games: Catching Fire,130000000,847423452,76.310119,7.4,6495,146.0,Adventure,Holiday,2013,6.518641938461538,1,97.3,Invest with confidence,130.0,847.4
Home,135000000,368871007,63.473086,6.8,1519,94.0,Fantasy,Spring,2015,2.7323778296296295,1,74.4,Invest with confidence,135.0,368.9
War of the Worlds,132000000,591739379,48.572726,6.2,2322,116.0,Adventure,Summer,2005,4.482874083333333,1,81.0,Invest with confidence,132.0,591.7
